subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0168,1,0,a,a,0.0,
MTK0169,1,0,v,v,0.0,
MTK0169,1,0,v,a,0.5,0.2
MTK0169,1,0,a,v,0.0,
MTK0169,1,0,a,a,0.0,
MTK0170,1,0,v,v,0.14285714285714285,1.0
MTK0170,1,0,v,a,0.5,0.5454545454545455
MTK0170,1,0,a,v,0.3333333333333333,0.25
MTK0170,1,0,a,a,0.14285714285714285,1.0
MTK0171,1,0,v,v,0.0,
MTK0171,1,0,v,a,0.125,0.0
MTK0171,1,0,a,v,0.0,
MTK0171,1,0,a,a,0.0,
MTK0172,1,0,v,v,0.0,
MTK0172,1,0,v,a,0.0,
MTK0172,1,0,a,v,0.0,
MTK0172,1,0,a,a,0.0,
MTK0173,1,0,v,v,0.14285714285714285,1.0
MTK0173,1,0,v,a,0.0,
MTK0173,1,0,a,v,0.0,
MTK0173,1,0,a,a,0.0,
MTK0174,1,0,v,v,0.0,
MTK0174,1,0,v,a,0.0,
MTK0174,1,0,a,v,0.14285714285714285,0.0
MTK0174,1,0,a,a,0.0,
MTK0175,1,0,v,v,0.0,
MTK0175,1,0,v,a,0.0,
MTK0175,1,0,a,v,0.0,
MTK0175,1,0,a,a,0.0,
MTK0178,1,0,v,v,0.42857142857142855,0.0
MTK0178,1,0,v,a,0.2857142857142857,0.0
MTK0178,1,0,a,v,0.25,0.3333333333333333
MTK0178,1,0,a,a,0.14285714285714285,0.0
MTK0182,1,0,v,v,0.42857142857142855,0.3636363636363637
MTK0182,1,0,v,a,0.25,0.2
MTK0182,1,0,a,v,0.14285714285714285,0.0
MTK0182,1,0,a,a,0.0,
MTK0183,1,0,v,v,0.2857142857142857,0.6000000000000001
MTK0183,1,0,v,a,0.0,
MTK0183,1,0,a,v,0.14285714285714285,1.0
MTK0183,1,0,a,a,0.0,
MTK0184,1,0,v,v,0.14285714285714285,0.0
MTK0184,1,0,v,a,0.14285714285714285,0.0
MTK0184,1,0,a,v,0.125,0.0
MTK0184,1,0,a,a,0.0,
